Date,Age.day,Set,Stimulus,StimClass1,StimClass2,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC9,NC10,NC11,NC12,NC13,NC14,NC15,Notes
20170621,4,1,M-only,M-only,M-included,C95,4,19,42,19.7,0,0,0,0,15,15,29,30,30,29.67,NA,2,All H,2,0.133333333,NA,0.13,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,2,M-only,M-only,M-included,C103,1,20,4,20.07,2,0,0,0,13,13,30,30,30,30,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,3,M-only,M-only,M-included,C102,2,21,44,21.73,1,0,0,0,14,14,30,30,30,30,NA,1,All H,1,0.071428571,NA,0.07,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,4,M-only,M-only,M-included,C97,2,22,25,22.42,1,0,0,0,14,14,30,30,30,30,NA,3,All H,3,0.214285714,NA,0.21,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,64,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,5,M-only,M-only,M-included,C51,1,23,25,23.42,2,0,0,0,13,13,30,30,30,30,NA,9,All H,9,0.692307692,NA,0.69,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,62,67,86,94,108,130,236,320,NA,NA,NA,NA,NA,NA,NA
20170626,4,6,M-only,M-only,M-included,C132,1,18,47,18.78,0,0,0,0,15,15,29,29,29,29,NA,3,All H,3,0.2,NA,0.2,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,84,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,7,M-only,M-only,M-included,C133,2,20,31,20.52,0,0,0,0,15,15,30,30,30,30,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,8,M-only,M-only,M-included,C142,1,21,9,21.15,0,0,0,0,15,15,30,30,30,30,NA,6,All H,6,0.4,NA,0.4,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,62,74,137,159,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170626,4,9,M-only,M-only,M-included,C117,1,22,29,22.48,0,0,0,0,15,15,30,30,30,30,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,10,M-only,M-only,M-included,C157,2,18,48,18.8,0,0,0,0,15,15,29,29,30,29.33,NA,0,All H,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,11,M-only,M-only,M-included,C147,2,20,6,20.1,1,0,0,0,14,14,29,30,30,29.67,NA,1,All H,1,0.071428571,NA,0.07,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170628,4,12,M-only,M-only,M-included,C150,2,21,28,21.47,0,0,0,0,15,15,30,30,30,30,NA,3,All H,3,0.2,NA,0.2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,77,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
